State,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2,drinkability
Haryana,8.66,878,48,207,113,9.6,18,0,230,16,46,95.2,1.2,0.39,526.8,31,1
Haryana,8.41,296,24,110,21,15,6.2,0,130,24,17,23.6,0,0.33,177.6,21,1
Haryana,8.67,423,36,207,21,8.2,0,0,110,20,15,72.7,2.3,0.47,253.8,20,1
Haryana,8.37,655,24,171,71,34,0,0,120,24,14,91.2,0,0.25,393,24,1
Haryana,8.44,461,12,37,50,126,5.3,0,130,16,22,59.2,0,0.17,276.6,18,1
Haryana,8.61,424,36,195,28,8.6,1.1,0,70,8,12,92.2,1.6,0.45,254.4,17,1
Haryana,8.66,794,24,220,78,87,0,0,50,12,0,171,6.4,0.76,476.4,22,1
Haryana,8.68,1185,30,195,141,233,1.1,0,130,16,22,236,11,0.63,711,21,1
Punjab,8.7,535,48,195,35,10,0,0,170,12,34,57,6.5,0.3,321,23,1
Punjab,8.65,455,48,207,7.1,0,4,0,170,16,32,42,8.1,0.48,273,25,1
Punjab,8.6,1305,60,293,113,190,24,0,140,12,153,265,5.5,0.55,783,22,0
Punjab,8.8,2170,108,647,220,110,95,0,310,12,68,380,64,1.6,1302,23,0
Punjab,8.9,2050,120,500,135,215,50,0,150,12,32,420,6.9,1.7,1230,22,0
Punjab,8.35,765,36,85,64,170,26,0,200,24,34,84,30,0.28,459,27,1
Punjab,7.9,4290,0,183,532,918,554,0,1271,100,248,300,300,0.08,2574,24,0
Punjab,8.28,1355,0,195,163,320,40,0,260,40,39,210,35,0.19,813,27,1
Punjab,8.5,4590,72,488,475,1045,138,0,350,24,70,920,38,1.7,2754,28,0
Punjab,8.75,1725,120,366,184,80,100,0,350,4,83,235,64,1.1,1035,23,0
Punjab,8.68,2201,88,193,234,481,12,0,252,17,51,417,9,0.55,1320.6,22,0
Punjab,8.72,735,14,307,64,7,9,0,210,8.4,46,73,8,0.45,441,14,1
Punjab,8.39,1940,27,629,99,292,29,0,210,4,49,361,26,0.69,1164,13,0
Punjab,8.16,995,0,461,70,34,2,0,315,8.4,72,87,8,0.48,597,11,1
Punjab,8.15,710,0,279,71,52,52,0,210,21,38,98,8.3,0.38,426,10,1
Punjab,8.28,510,0,252,35,19,45,0,242,17,49,28,8,0.32,306,12,1
Punjab,8.2,8320,0,561,1432,1690,239,0,911,88,418,1600,37,0.55,4992,19,0
Punjab,8.5,2380,36,207,354,412,115,0,460,20,100,260,180,0.44,1428,20,0
Punjab,8.4,1320,44,134,177,255,6,0,284,42,43,190,11,0.86,792,24,1
Punjab,8.86,953,102,370,28,0,17,0,105,21,13,175,25,0.5,571.8,22,0
Punjab,8.45,270,12,195,7.1,0,0,0,90,12,14,45,3.8,0.21,162,25,1
Punjab,8.4,227,24,122,7.1,0,0,0,100,20,12,22,3.8,0.18,136.2,26,1
